salience_s,potential_V,cognitive_mass,certainty_order
-2.000000000000000000e+00,2.250000000000000000e+01,1.791647286716891774e+00,-2.000000000000000000e+00
-1.959595959595959558e+00,2.016423181374655016e+01,1.755566307460885378e+00,-1.959595959595959558e+00
-1.919191919191919116e+00,1.800021532985546813e+01,1.719487742949407982e+00,-1.919191919191919116e+00
-1.878787878787878896e+00,1.600027531344836973e+01,1.683411748439521238e+00,-1.878787878787878896e+00
-1.838383838383838453e+00,1.415689643037347523e+01,1.647338492776975194e+00,-1.838383838383838453e+00
-1.797979797979798011e+00,1.246272324720566083e+01,1.611268159914661879e+00,-1.797979797979798011e+00
-1.757575757575757569e+00,1.091056023124643204e+01,1.575200950639123576e+00,-1.757575757575757569e+00
-1.717171717171717127e+00,9.493371750523923680e+00,1.539137084539116129e+00,-1.717171717171717127e+00
-1.676767676767676685e+00,8.204282073792910523e+00,1.503076802256723354e+00,-1.676767676767676685e+00
-1.636363636363636243e+00,7.036575370534795759e+00,1.467020368069434033e+00,-1.636363636363636243e+00
-1.595959595959596022e+00,5.983695710957617209e+00,1.430968072861310780e+00,-1.595959595959596022e+00
-1.555555555555555580e+00,5.039247065996037556e+00,1.394920237553317177e+00,-1.555555555555555580e+00
-1.515151515151515138e+00,4.196993307311362109e+00,1.358877217077667288e+00,-1.515151515151515138e+00
-1.474747474747474696e+00,3.450858207291533919e+00,1.322839404999428758e+00,-1.474747474747474696e+00
-1.434343434343434254e+00,2.794925439051115124e+00,1.286807238911599427e+00,-1.434343434343434254e+00
-1.393939393939394034e+00,2.223438576431314928e+00,1.250781206758760034e+00,-1.393939393939394034e+00
-1.353535353535353369e+00,1.730801093999961848e+00,1.214761854280936637e+00,-1.353535353535353369e+00
-1.313131313131313149e+00,1.311576367051535019e+00,1.178749793815792479e+00,-1.313131313131313149e+00
-1.272727272727272707e+00,9.604876716071304443e-01,1.142745714756804976e+00,-1.272727272727272707e+00
-1.232323232323232265e+00,6.724181844144863085e-01,1.106750396041882301e+00,-1.232323232323232265e+00
-1.191919191919191823e+00,4.424109829479713762e-01,1.070764721146638898e+00,-1.191919191919191823e+00
-1.151515151515151381e+00,2.656690454085892661e-01,1.034789696187186525e+00,-1.151515151515151381e+00
-1.111111111111111160e+00,1.375552507239751754e-01,9.988264719097379452e-01,-1.111111111111111160e+00
-1.070707070707070496e+00,5.359237854839687953e-02,9.628763705739654677e-01,-1.070707070707070496e+00
-1.030303030303030276e+00,9.463109262758647236e-03,9.269409190456993075e-01,-1.030303030303030276e+00
-9.898989898989898339e-01,1.010023974594699515e-03,8.910218898334835158e-01,-9.898989898989898339e-01
-9.494949494949493918e-01,2.423560451807426491e-02,8.551213523782067449e-01,-9.494949494949493918e-01
-9.090909090909089496e-01,7.530223345399932044e-02,8.192417377022415126e-01,-9.090909090909089496e-01
-8.686868686868685074e-01,1.505321940698050309e-01,7.833859206439680589e-01,-8.686868686868685074e-01
-8.282828282828282873e-01,2.464076703795595180e-01,7.475573254958852720e-01,-8.282828282828282873e-01
-7.878787878787878451e-01,3.595707471239653064e-01,7.117600631613707485e-01,-7.878787878787878451e-01
-7.474747474747474030e-01,4.868234097703574292e-01,6.759991113085503933e-01,-7.474747474747474030e-01
-7.070707070707069608e-01,6.251275445127036923e-01,6.402805540058010836e-01,-7.070707070707069608e-01
-6.666666666666665186e-01,7.716049382716055893e-01,6.046119049072350426e-01,-6.666666666666665186e-01
-6.262626262626260765e-01,9.235372786942979140e-01,5.690025497681793221e-01,-6.262626262626260765e-01
-5.858585858585856343e-01,1.078366154154649204e+00,5.334643625392210264e-01,-5.858585858585856343e-01
-5.454545454545454142e-01,1.233693053753159408e+00,4.980125790837213740e-01,-5.454545454545454142e-01
-5.050505050505049720e-01,1.387279367316964329e+00,4.626670618505451249e-01,-5.050505050505049720e-01
-4.646464646464645298e-01,1.537046385399831516e+00,4.274541726159268862e-01,-4.646464646464645298e-01
-4.242424242424240877e-01,1.681075299282161817e+00,3.924096171370818342e-01,-4.242424242424240877e-01
-3.838383838383836455e-01,1.817607200970989600e+00,3.575828909863136285e-01,-3.838383838383836455e-01
-3.434343434343432033e-01,1.945043083199982092e+00,3.230444529784449736e-01,-3.434343434343432033e-01
-3.030303030303029832e-01,2.061943839429439151e+00,2.888977183082445110e-01,-3.030303030303029832e-01
-2.626262626262625410e-01,2.167030263846297267e+00,2.552999080627152972e-01,-2.626262626262625410e-01
-2.222222222222220989e-01,2.259183051364121564e+00,2.224998266055641938e-01,-2.222222222222220989e-01
-1.818181818181816567e-01,2.337442797623113577e+00,1.909090909090907784e-01,-1.818181818181816567e-01
-1.414141414141412145e-01,2.401009998990106364e+00,1.612400927608235446e-01,-1.414141414141412145e-01
-1.010101010101007724e-01,2.449245052558567615e+00,1.347680689364383899e-01,-1.010101010101007724e-01
-6.060606060606055223e-02,2.481668256148596985e+00,1.137474204795361071e-01,-6.060606060606055223e-02
-2.020202020202011006e-02,2.497959808306928320e+00,1.016193746103284390e-01,-2.020202020202011006e-02
2.020202020202033211e-02,2.497959808306928320e+00,1.016193746103284806e-01,-2.020202020202033211e-02
6.060606060606099632e-02,2.481668256148596541e+00,1.137474204795363014e-01,-6.060606060606099632e-02
1.010101010101012164e-01,2.449245052558566726e+00,1.347680689364386675e-01,-1.010101010101012164e-01
1.414141414141414366e-01,2.401009998990106364e+00,1.612400927608237111e-01,-1.414141414141414366e-01
1.818181818181821008e-01,2.337442797623112689e+00,1.909090909090911392e-01,-1.818181818181821008e-01
2.222222222222223209e-01,2.259183051364121564e+00,2.224998266055643881e-01,-2.222222222222223209e-01
2.626262626262629851e-01,2.167030263846295934e+00,2.552999080627156858e-01,-2.626262626262629851e-01
3.030303030303032052e-01,2.061943839429439151e+00,2.888977183082446776e-01,-3.030303030303032052e-01
3.434343434343434254e-01,1.945043083199980982e+00,3.230444529784451402e-01,-3.434343434343434254e-01
3.838383838383840896e-01,1.817607200970987824e+00,3.575828909863140170e-01,-3.838383838383840896e-01
4.242424242424243097e-01,1.681075299282160929e+00,3.924096171370820563e-01,-4.242424242424243097e-01
4.646464646464649739e-01,1.537046385399829962e+00,4.274541726159272748e-01,-4.646464646464649739e-01
5.050505050505051940e-01,1.387279367316963441e+00,4.626670618505452914e-01,-5.050505050505051940e-01
5.454545454545458583e-01,1.233693053753157409e+00,4.980125790837217625e-01,-5.454545454545458583e-01
5.858585858585860784e-01,1.078366154154647205e+00,5.334643625392213595e-01,-5.858585858585860784e-01
6.262626262626262985e-01,9.235372786942972478e-01,5.690025497681795441e-01,-6.262626262626262985e-01
6.666666666666669627e-01,7.716049382716038130e-01,6.046119049072354867e-01,-6.666666666666669627e-01
7.070707070707071829e-01,6.251275445127025820e-01,6.402805540058013056e-01,-7.070707070707071829e-01
7.474747474747478471e-01,4.868234097703559859e-01,6.759991113085507264e-01,-7.474747474747478471e-01
7.878787878787880672e-01,3.595707471239646402e-01,7.117600631613708595e-01,-7.878787878787880672e-01
8.282828282828287314e-01,2.464076703795582968e-01,7.475573254958857161e-01,-8.282828282828287314e-01
8.686868686868689515e-01,1.505321940698040595e-01,7.833859206439685030e-01,-8.686868686868689515e-01
9.090909090909091717e-01,7.530223345399893187e-02,8.192417377022417346e-01,-9.090909090909091717e-01
9.494949494949498359e-01,2.423560451807382776e-02,8.551213523782071890e-01,-9.494949494949498359e-01
9.898989898989900560e-01,1.010023974594654846e-03,8.910218898334836268e-01,-9.898989898989900560e-01
1.030303030303030720e+00,9.463109262758919588e-03,9.269409190456996406e-01,1.030303030303030720e+00
1.070707070707070940e+00,5.359237854839769832e-02,9.628763705739659118e-01,1.070707070707070940e+00
1.111111111111111160e+00,1.375552507239751754e-01,9.988264719097379452e-01,1.111111111111111160e+00
1.151515151515151825e+00,2.656690454085907094e-01,1.034789696187186747e+00,1.151515151515151825e+00
1.191919191919192045e+00,4.424109829479728195e-01,1.070764721146639120e+00,1.191919191919192045e+00
1.232323232323232709e+00,6.724181844144891951e-01,1.106750396041882745e+00,1.232323232323232709e+00
1.272727272727272929e+00,9.604876716071325538e-01,1.142745714756805420e+00,1.272727272727272929e+00
1.313131313131313593e+00,1.311576367051539238e+00,1.178749793815792923e+00,1.313131313131313593e+00
1.353535353535353813e+00,1.730801093999966289e+00,1.214761854280936859e+00,1.353535353535353813e+00
1.393939393939394034e+00,2.223438576431314928e+00,1.250781206758760034e+00,1.393939393939394034e+00
1.434343434343434698e+00,2.794925439051122673e+00,1.286807238911599871e+00,1.434343434343434698e+00
1.474747474747474918e+00,3.450858207291536139e+00,1.322839404999428981e+00,1.474747474747474918e+00
1.515151515151515582e+00,4.196993307311370991e+00,1.358877217077667732e+00,1.515151515151515582e+00
1.555555555555555802e+00,5.039247065996043773e+00,1.394920237553317399e+00,1.555555555555555802e+00
1.595959595959596466e+00,5.983695710957630531e+00,1.430968072861311224e+00,1.595959595959596466e+00
1.636363636363636687e+00,7.036575370534806417e+00,1.467020368069434477e+00,1.636363636363636687e+00
1.676767676767676907e+00,8.204282073792919405e+00,1.503076802256723798e+00,1.676767676767676907e+00
1.717171717171717571e+00,9.493371750523941444e+00,1.539137084539116795e+00,1.717171717171717571e+00
1.757575757575757791e+00,1.091056023124643914e+01,1.575200950639123576e+00,1.757575757575757791e+00
1.797979797979798455e+00,1.246272324720568037e+01,1.611268159914662101e+00,1.797979797979798455e+00
1.838383838383838675e+00,1.415689643037348588e+01,1.647338492776975416e+00,1.838383838383838675e+00
1.878787878787878896e+00,1.600027531344836973e+01,1.683411748439521238e+00,1.878787878787878896e+00
1.919191919191919560e+00,1.800021532985549300e+01,1.719487742949408426e+00,1.919191919191919560e+00
1.959595959595959780e+00,2.016423181374656082e+01,1.755566307460885378e+00,1.959595959595959780e+00
2.000000000000000000e+00,2.250000000000000000e+01,1.791647286716891774e+00,2.000000000000000000e+00
