step,phi_real,phi_imag,salience,cognitive_mass,potential,vev_broken
0,0.0120398,0.0120398,0.09999920000000001,0.01414213562373095,-0.00039998000000000003,0.0
1,0.014495569764588703,0.014495569764588703,0.09999803635500493,0.01702684844825959,-0.0005797851112215214,0.0
2,0.017452055691702138,0.017452055691702138,0.09999634559744588,0.020499831355406714,-0.0008403978690747354,0.0
3,0.021011209412388696,0.021011209412388696,0.09999389082049313,0.024680933850495728,-0.0012181114605201652,0.0
4,0.02529563583047199,0.02529563583047199,0.09999032872298984,0.029714337312861324,-0.001765493890736879,0.0
5,0.030452698574631887,0.030452698574631887,0.09998516190813642,0.0357734312603043,-0.0025586579031055185,0.0
6,0.036659382844826095,0.036659382844826095,0.09997766988370164,0.043066619335104236,-0.003707747383358819,0.0
7,0.04412801081602924,0.04412801081602924,0.09996680935108959,0.05184419640738064,-0.005372029212193416,0.0
8,0.0531128805066125,0.0531128805066125,0.0999510703176589,0.06240643137657518,-0.007781541545095213,0.0
9,0.06391783812381721,0.06391783812381721,0.09992826888700641,0.07511295594915299,-0.011267996468231525,0.0
10,0.07690466656708497,0.07690466656708497,0.09989524975573782,0.09039347355227037,-0.01630857766411264,0.0
11,0.09250192843490652,0.09250192843490652,0.09984746094478018,0.1087596224689523,-0.02358735241395066,0.0
12,0.11121345690404758,0.11121345690404758,0.09977834981272761,0.13081748173831026,-0.034079996018072774,0.0
13,0.13362490885512485,0.13362490885512485,0.09967851341505805,0.1572795790720998,-0.04916777571661357,0.0
14,0.16040548089771217,0.16040548089771217,0.09953452027928866,0.18897415837378626,-0.07078481900164581,0.0
15,0.19229976839716842,0.19229976839716842,0.09932731167468371,0.226847606564523,-0.10159561581644733,0.0
16,0.2301015284831231,0.2301015284831231,0.09903010466379167,0.2719529405084807,-0.14518188110022598,0.0
17,0.27459668938093484,0.27459668938093484,0.0986057897014608,0.32541270230361174,-0.20618014471917961,0.0
18,0.32645799858700475,0.32645799858700475,0.09800400216467302,0.3883383623052701,-0.29024203936094173,0.0
19,0.3860709251169146,0.3860709251169146,0.09715844142633963,0.46168132914691884,-0.403582912785767,0.0
20,0.45327667921453546,0.45327667921453546,0.0959857104767282,0.5459867383382682,-0.5517707792340285,1.0
21,0.5270463159714556,0.5270463159714556,0.09438794303883605,0.6410300272526348,-0.7374115756485274,1.0
22,0.6051650966203922,0.6051650966203922,0.09226237259610004,0.7453560480456081,-0.9567902430605585,1.0
23,0.6841061820600924,0.6841061820600924,0.08952058298600708,0.8558326871153832,-1.1966579769441186,1.0
24,0.7593445696661134,0.7593445696661134,0.08611652619058942,0.9674722407726605,-1.4339546990090584,1.0
25,0.8262609183604656,0.8262609183604656,0.08207469693518649,1.0738753889361792,-1.641471951560455,1.0
26,0.8814068666667255,0.8814068666667255,0.07750243211941447,1.168509396804219,-1.7986504378314117,1.0
27,0.9234715548926895,0.9234715548926895,0.07257314912262867,1.2464975448088575,-1.9004332038931913,1.0
28,0.9533393800867084,0.9533393800867084,0.06748478601054453,1.3059859973950116,-1.9566641508351936,1.0
29,0.973291054169891,0.973291054169891,0.062415493869043,1.3482254808629819,-1.9833855329119818,1.0
30,0.9859803601628125,0.9859803601628125,0.05749749813979737,1.3764414089434667,-1.9944444663266698,1.0
31,0.9937384931868488,0.9937384931868488,0.05281325676174001,1.3943867975757585,-1.9984495648421003,1.0
32,0.9983189237776674,0.9983189237776674,0.048405007345636554,1.4053584545170452,-1.9996883091176472,1.0
33,1.0009226049999411,1.0009226049999411,0.044287640452345386,1.4118361615800894,-1.9999774298519084,1.0
34,1.0023261921409434,1.0023261921409434,0.04045952680284566,1.415518322876725,-1.9999931841160925,1.0
35,1.0030146118026009,1.0030146118026009,0.03690998611663841,1.417503294847503,-1.9999566098830592,1.0
36,1.0032841590875363,1.0032841590875363,0.03362390723843084,1.4184768672696233,-1.999927077588711,1.0
37,1.0033133902875409,1.0033133902875409,0.030584416981273475,1.4188580646956797,-1.9999134307843782,1.0
38,1.0032088699678163,1.0032088699678163,0.027774344748233027,1.4188994038551705,-1.9999118803074567,1.0
39,1.003033676024918,1.003033676024918,0.025176986131344312,1.4187515898014726,-1.999917360686256,1.0
40,1.0028248127149388,1.0028248127149388,0.022776473023733063,1.4185038281513802,-1.9999261509528288,1.0
41,1.0026037278724556,1.0026037278724556,0.020557928723946087,1.4182084508257256,-1.9999359830114014,1.0
42,1.0023826237928697,1.0023826237928697,0.01850750855969533,1.4178957896430506,-1.9999456235037316,1.0
43,1.0021682296324548,1.0021682296324548,0.0166123815836633,1.4175831012550042,-1.9999544765591764,1.0
44,1.0019640510506318,1.0019640510506318,0.0148606836037296,1.417279902125652,-1.999962308651293,1.0
45,1.0017717094469965,1.0017717094469965,0.013241457804847845,1.4169911500060917,-1.9999690793874425,1.0
46,1.0015917378961454,1.0015917378961454,0.011744591541796138,1.416719137901622,-1.9999748438548566,1.0
47,1.0014240531875236,1.0014240531875236,0.010360753705816819,1.416464619693567,-1.9999796986879281,1.0
48,1.0012682348972566,1.0012682348972566,0.009081334814717597,1.4162274777044315,-1.999983753468915,1.0
49,1.0011236895617481,1.0011236895617481,0.007898390772569801,1.4160071173650701,-1.9999871163179566,1.0
50,1.000989746490812,1.000989746490812,0.00680459061249446,1.4158026993912163,-1.999989887220095,1.0
51,1.0008657129589937,1.0008657129589937,0.0057931682121474225,1.4156132752837125,-1.999992155456722,1.0
52,1.0007509053075943,1.0007509053075943,0.004857877813569853,1.4154378653808262,-1.9999939991369273,1.0
53,1.0006446658093993,1.0006446658093993,0.003992953109422132,1.4152755028431527,-1.9999954857418798,1.0
54,1.000546371164843,1.000546371164843,0.0031930696342039734,1.4151252575039457,-1.999996673104254,1.0
55,1.0004554361228304,1.0004554361228304,0.0024533101991946185,1.4149862478845057,-1.9999976105233954,1.0
56,1.0003713143025788,1.0003713143025788,0.0017691331213717338,1.4148576463147964,-1.9999983398676782,1.0
57,1.0002934974477538,1.0002934974477538,0.0011363430130464317,1.4147386800957051,-1.9999988965959141,1.0
58,1.0002215138402175,1.0002215138402175,0.0005510639170332577,1.4146286304442304,-1.9999993106717135,1.0
59,1.0001549263003404,1.0001549263003404,9.714590167063408e-06,1.4145268302501839,-1.9999996073659894,1.0
60,1.0000933300219739,1.0000933300219739,-0.0004910142449214024,1.4144326612482048,-1.9999998079529822,1.0
61,1.0000363503838743,1.0000363503838743,-0.0009541808439908963,1.414345550955947,-1.9999999303095524,1.0
62,0.9999836408163515,0.9999836408163515,-0.0013826117310163201,1.4142649695789675,-1.9999999894288125,1.0
63,0.9999348807647334,0.9999348807647334,-0.0017789194701043703,1.41419042699371,-1.999999997859052,1.0
64,0.9998897737694572,0.9998897737694572,-0.002145519043943139,1.4141214698674096,-1.9999999660780907,1.0
65,0.9998480456699904,0.9998480456699904,-0.002484642952358273,1.4140576789429322,-1.9999999028121382,1.0
66,0.9998094429326208,0.9998094429326208,-0.0027983551347025687,1.413998666498734,-1.9999998153071208,1.0
67,0.9997737310982246,0.9997737310982246,-0.00308856381088644,1.4139440739840012,-1.999999709559386,1.0
68,0.9997406933440843,0.9997406933440843,-0.0033570333277704372,1.4138935698234611,-1.999999590511743,1.0
69,0.9997101291529052,0.9997101291529052,-0.00360539509030328,1.4138468473834855,-1.9999994622199426,1.0
70,0.9996818530818946,0.9996818530818946,-0.003835157650123667,1.413803623089797,-1.9999993279939734,1.0
71,0.9996556936248387,0.9996556936248387,-0.004047716018283492,1.4137636346866833,-1.9999991905179038,1.0
72,0.9996314921603844,0.9996314921603844,-0.004244360263233491,1.4137266396277306,-1.9999990519514637,1.0
73,0.9996091019800943,0.9996091019800943,-0.004426283450185904,1.4136924135884699,-1.9999989140160814,1.0
74,0.9995883873902554,0.9995883873902554,-0.00459458897338442,1.4136607490918396,-1.9999987780676953,1.0
75,0.9995692228818314,0.9995692228818314,-0.004750297328626838,1.4136314542379504,-1.999998645158318,1.0
76,0.9995514923633619,0.9995514923633619,-0.004894352369562207,1.413604351530221,-1.9999985160880376,1.0
77,0.9995350884519955,0.9995350884519955,-0.005027627087787823,1.4135792767905335,-1.9999983914488892,1.0
78,0.9995199118182104,0.9995199118182104,-0.005150928953571673,1.4135560781566032,-1.999998271661825,1.0
79,0.9995058705801212,0.9995058705801212,-0.005265004851095523,1.4135346151552732,-1.9999981570078191,1.0
80,0.9994928797435801,0.9994928797435801,-0.005370545639428273,1.4135147578459348,-1.9999980476540005,1.0
81,0.9994808606845809,0.9994808606845809,-0.00546819036797637,1.413496386028712,-1.9999979436755648,1.0
82,0.9994697406707386,0.9994697406707386,-0.00555853017289817,1.4134793885124681,-1.999997845074112,1.0
83,0.9994594524188718,0.9994594524188718,-0.005642111878894234,1.4134636624380787,-1.9999977517929568,1.0
84,0.9994499336859407,0.9994499336859407,-0.005719441328879486,1.4134491126527555,-1.9999976637298775,1.0
85,0.9994411268908068,0.9994411268908068,-0.0057909864622913065,1.4134356511315478,-1.9999975807476995,1.0
86,0.9994329787644771,0.9994329787644771,-0.005857180161176831,1.4134231964424284,-1.999997502683051,1.0
87,0.9994254400266724,0.9994254400266724,-0.005918422881720832,1.413411673251665,-1.999997429353579,1.0
88,0.9994184650867273,0.9994184650867273,-0.005975085087511875,1.4134010118664184,-1.9999973605638646,1.0
89,0.9994120117669792,0.9994120117669792,-0.006027509499588884,1.4133911478117513,-1.9999972961102495,1.0
90,0.9994060410469502,0.9994060410469502,-0.006076013177153999,1.4133820214394412,-1.9999972357847458,1.0
91,0.9994005168267465,0.9994005168267465,-0.006120889441772324,1.413373577566199,-1.999997179378177,1.0
92,0.9993954057082295,0.9993954057082295,-0.006162409656897453,1.4133657651390654,-1.9999971266826801,1.0
93,0.9993906767926153,0.9993906767926153,-0.006200824873656734,1.4133585369259398,-1.999997077493671,1.0
94,0.9993863014932656,0.9993863014932656,-0.006236367352995764,1.4133518492293429,-1.9999970316113664,1.0
95,0.9993822533625254,0.9993822533625254,-0.006269251973512023,1.413345661621663,-1.9999969888419367,1.0
96,0.9993785079315507,0.9993785079315507,-0.0062996775335976045,1.4133399367002681,-1.9999969489983547,1.0
97,0.9993750425621473,0.9993750425621473,-0.00632782795585589,1.4133346398609867,-1.9999969119009948,1.0
98,0.9993718363097187,0.9993718363097187,-0.006353873401152441,1.4133297390885777,-1.999996877378028,1.0
99,0.999368869796488,0.999368869796488,-0.006377971299102327,1.4133252047629088,-1.9999968452656494,1.0
100,0.9993661250942204,0.9993661250942204,-0.006400267301280888,1.413321009479665,-1.9999968154081735,1.0
101,0.9993635856157345,0.9993635856157345,-0.006420896162969173,1.4133171278844936,-1.999996787658022,1.0
102,0.9993612360145404,0.9993612360145404,-0.006439982558805975,1.4133135365195775,-1.999996761875625,1.0
103,0.9993590620919972,0.9993590620919972,-0.006457641837312574,1.4133102136817026,-1.999996737929259,1.0
104,0.9993570507114223,0.9993570507114223,-0.00647398071888144,1.4133071392909584,-1.9999967156948326,1.0
105,0.9993551897186344,0.9993551897186344,-0.006489097941473834,1.4133042947692704,-1.9999966950556352,1.0
106,0.9993534678684449,0.9993534678684449,-0.006503084857951282,1.4133016629280302,-1.999996675902058,1.0
107,0.9993518747566538,0.9993518747566538,-0.0065160259886701865,1.4132992278641399,-1.9999966581312965,1.0
108,0.9993504007571351,0.9993504007571351,-0.006527999532695601,1.4132969748638384,-1.9999966416470434,1.0
109,0.9993490369636331,0.9993490369636331,-0.006539077840737659,1.4132948903137283,-1.999996626359172,1.0
110,0.9993477751359137,0.9993477751359137,-0.006549327852680691,1.4132929616184613,-1.9999966121834227,1.0
111,0.9993466076499466,0.9993466076499466,-0.006558811502359314,1.413291177124587,-1.9999965990410888,1.0
112,0.9993455274518157,0.9993455274518157,-0.006567586092036295,1.4132895260500988,-1.9999965868587088,1.0
113,0.999344528015077,0.999344528015077,-0.0065757046388525845,1.413287998419252,-1.9999965755677669,1.0
114,0.999343603301309,0.999343603301309,-0.006583216195349431,1.4132865850022613,-1.999996565104401,1.0
115,0.9993427477236134,0.9993427477236134,-0.006590166146004822,1.4132852772595093,-1.9999965554091232,1.0
116,0.999341956112847,0.999341956112847,-0.006596596481580766,1.4132840672899285,-1.99999654642655,1.0
117,0.9993412236863797,0.9993412236863797,-0.006602546052943139,1.4132829477832467,-1.999996538105144,1.0
118,0.9993405460191892,0.9993405460191892,-0.00660805080589116,1.413281911975803,-1.9999965303969711,1.0
119,0.9993399190171192,0.9993399190171192,-0.006613143998418324,1.4132809536096715,-1.9999965232574637,1.0
120,0.9993393388921363,0.9993393388921363,-0.006617856401720015,1.4132800668948404,-1.9999965166452034,1.0
121,0.9993388021394392,0.9993388021394392,-0.006622216486164437,1.4132792464742219,-1.99999651052171,1.0
122,0.9993383055162782,0.9993383055162782,-0.006626250593352324,1.4132784873912778,-1.999996504851245,1.0
123,0.9993378460223608,0.9993378460223608,-0.006629983095306573,1.4132777850600682,-1.9999964996006265,1.0
124,0.9993374208817213,0.9993374208817213,-0.00663343654175493,1.4132771352375384,-1.9999964947390547,1.0
125,0.9993370275259471,0.9993370275259471,-0.006636631796396734,1.4132765339978801,-1.9999964902379472,1.0
126,0.9993366635786592,0.9993366635786592,-0.006639588162977978,1.4132759777088095,-1.9999964860707864,1.0
127,0.9993363268411534,0.9993363268411534,-0.006642323501937242,1.413275463009619,-1.9999964822129748,1.0
128,0.9993360152791149,0.9993360152791149,-0.006644854338327927,1.4132749867908712,-1.9999964786417006,1.0
129,0.9993357270103271,0.9993357270103271,-0.006647195961669448,1.4132745461756109,-1.9999964753358126,1.0
130,0.9993354602932992,0.9993354602932992,-0.00664936251833115,1.4132741385019816,-1.9999964722757015,1.0
131,0.9993352135167438,0.9993352135167438,-0.006651367097007537,1.4132737613071433,-1.9999964694431909,1.0
132,0.999334985189842,0.999334985189842,-0.006653221807801591,1.4132734123123918,-1.9999964668214345,1.0
133,0.9993347739332359,0.9993347739332359,-0.006654937855394299,1.4132730894093906,-1.9999964643948211,1.0
134,0.9993345784706951,0.9993345784706951,-0.00665652560674269,1.4132727906474332,-1.9999964621488864,1.0
135,0.9993343976214061,0.9993343976214061,-0.006657994653715636,1.413272514221657,-1.9999964600702282,1.0
136,0.9993342302928382,0.9993342302928382,-0.006659353871046012,1.4132722584621398,-1.9999964581464325,1.0
137,0.9993340754741428,0.9993340754741428,-0.006660611469949502,1.4132720218238095,-1.9999964563659989,1.0
138,0.9993339322300462,0.9993339322300462,-0.006661775047734127,1.413271802877111,-1.9999964547182767,1.0
139,0.9993337996951995,0.9993337996951995,-0.00666285163370033,1.4132716002993668,-1.999996453193401,1.0
140,0.9993336770689506,0.9993336770689506,-0.006663847731609017,1.4132714128667891,-1.9999964517822364,1.0
141,0.9993335636105067,0.9993335636105067,-0.006664769358974215,1.4132712394470848,-1.999996450476324,1.0
142,0.9993334586344593,0.9993334586344593,-0.006665622083417794,1.4132710789926146,-1.9999964492678304,1.0
143,0.9993333615066433,0.9993333615066433,-0.006666411056305949,1.4132709305340647,-1.9999964481495034,1.0
144,0.9993332716403059,0.9993332716403059,-0.006667141043870715,1.41327079317459,-1.9999964471146283,1.0
145,0.9993331884925616,0.9993331884925616,-0.006667816456004556,1.413270666084397,-1.9999964461569884,1.0
146,0.9993331115611125,0.9993331115611125,-0.006668441372902046,1.413270548495729,-1.9999964452708288,1.0
147,0.9993330403812142,0.9993330403812142,-0.0066690195697096,1.4132704396982305,-1.9999964444508218,1.0
148,0.9993329745228677,0.9993329745228677,-0.006669554539332226,1.4132703390346528,-1.999996443692036,1.0
149,0.9993329135882221,0.9993329135882221,-0.0066700495135350755,1.4132702458968862,-1.9999964429899066,1.0
150,0.9993328572091705,0.9993328572091705,-0.006670507482467316,1.4132701597222839,-1.9999964423402081,1.0
151,0.999332805045127,0.999332805045127,-0.006670931212726271,1.4132700799902647,-1.9999964417390297,1.0
152,0.9993327567809687,0.9993327567809687,-0.0066713232640709845,1.4132700062191668,-1.999996441182751,1.0
153,0.9993327121251319,0.9993327121251319,-0.006671686004886186,1.4132699379633396,-1.9999964406680224,1.0
154,0.999332670807851,0.999332670807851,-0.006672021626490091,1.4132698748104493,-1.9999964401917427,1.0
155,0.9993326325795288,0.9993326325795288,-0.006672332156372478,1.4132698163789905,-1.9999964397510421,1.0
156,0.9993325972092283,0.9993325972092283,-0.0066726194704430225,1.4132697623159787,-1.999996439343265,1.0
157,0.9993325644832782,0.9993325644832782,-0.006672885304363894,1.4132697122948201,-1.9999964389659532,1.0
158,0.9993325342039816,0.9993325342039816,-0.006673131264035077,1.4132696660133377,-1.999996438616832,1.0
159,0.9993325061884217,0.9993325061884217,-0.006673358835295769,1.4132696231919457,-1.999996438293797,1.0
160,0.9993324802673572,0.9993324802673572,-0.006673569392900458,1.4132695835719609,-1.9999964379948991,1.0
161,0.9993324562841995,0.9993324562841995,-0.006673764208823922,1.41326954691404,-1.9999964377183366,1.0
162,0.999332434094067,0.999332434094067,-0.006673944459945314,1.4132695129967332,-1.9999964374624406,1.0
163,0.9993324135629097,0.9993324135629097,-0.006674111235157752,1.4132694816151468,-1.999996437225668,1.0
164,0.9993323945666994,0.9993323945666994,-0.006674265541946382,1.4132694525797056,-1.9999964370065897,1.0
165,0.9993323769906806,0.9993323769906806,-0.0066744083124746405,1.4132694257150074,-1.999996436803884,1.0
166,0.999332360728677,0.999332360728677,-0.006674540409215483,1.4132694008587632,-1.999996436616328,1.0
167,0.9993323456824504,0.9993323456824504,-0.0066746626301616135,1.4132693778608172,-1.9999964364427898,1.0
168,0.9993323317611071,0.9993323317611071,-0.006674775713646176,1.4132693565822396,-1.9999964362822216,1.0
169,0.9993323188805486,0.9993323188805486,-0.0066748803428030405,1.413269336894487,-1.9999964361336546,1.0
170,0.999332306962964,0.999332306962964,-0.006674977149693624,1.4132693186786265,-1.999996435996192,1.0
171,0.9993322959363596,0.9993322959363596,-0.006675066719125182,1.4132693018246167,-1.999996435869004,1.0
172,0.999332285734124,0.999332285734124,-0.006675149592183628,1.4132692862306433,-1.999996435751323,1.0
173,0.999332276294626,0.999332276294626,-0.006675226269502239,1.4132692718025033,-1.999996435642438,1.0
174,0.9993322675608418,0.9993322675608418,-0.006675297214285981,1.413269258453037,-1.999996435541692,1.0
175,0.999332259480011,0.999332259480011,-0.006675362855109721,1.413269246101601,-1.9999964354484767,1.0
176,0.9993322520033177,0.9993322520033177,-0.006675423588507254,1.4132692346735805,-1.9999964353622293,1.0
177,0.9993322450855953,0.9993322450855953,-0.006675479781366752,1.4132692240999394,-1.999996435282429,1.0
178,0.9993322386850542,0.9993322386850542,-0.006675531773147136,1.4132692143168026,-1.999996435208594,1.0
179,0.999332232763029,0.999332232763029,-0.006675579877928736,1.4132692052650706,-1.9999964351402781,1.0
180,0.999332227283745,0.999332227283745,-0.006675624386310651,1.4132691968900621,-1.9999964350770694,1.0
181,0.9993322222141021,0.9993322222141021,-0.006675665567166247,1.4132691891411846,-1.9999964350185855,1.0
182,0.9993322175234748,0.9993322175234748,-0.006675703669267419,1.4132691819716268,-1.9999964349644737,1.0
183,0.999332213183527,0.999332213183527,-0.006675738922787415,1.413269175338078,-1.9999964349144068,1.0
184,0.9993322091680416,0.9993322091680416,-0.006675771540691304,1.413269169200465,-1.999996434868083,1.0
185,0.9993322054527609,0.9993322054527609,-0.006675801720022497,1.413269163521711,-1.999996434825222,1.0
186,0.9993322020152413,0.9993322020152413,-0.0066758296430930765,1.4132691582675108,-1.9999964347855652,1.0
187,0.9993321988347167,0.9993321988347167,-0.006675855478585142,1.413269153406124,-1.999996434748873,1.0
188,0.9993321958919739,0.9993321958919739,-0.00667587938256981,1.4132691489081828,-1.9999964347149237,1.0
189,0.9993321931692356,0.9993321931692356,-0.006675901499450037,1.413269144746516,-1.9999964346835124,1.0
190,0.9993321906500542,0.9993321906500542,-0.006675921962832952,1.4132691408959828,-1.9999964346544494,1.0
191,0.9993321883192112,0.9993321883192112,-0.0066759408963369725,1.4132691373333222,-1.9999964346275592,1.0
192,0.9993321861626262,0.9993321861626262,-0.00667595841433858,1.4132691340370123,-1.999996434602679,1.0
193,0.9993321841672713,0.9993321841672713,-0.006675974622663263,1.4132691309871406,-1.999996434579659,1.0
194,0.9993321823210927,0.9993321823210927,-0.006675989619224806,1.4132691281652827,-1.9999964345583598,1.0
195,0.9993321806129376,0.9993321806129376,-0.006676003494616783,1.4132691255543917,-1.9999964345386532,1.0
196,0.9993321790324873,0.9993321790324873,-0.006676016332659829,1.4132691231386958,-1.9999964345204195,1.0
197,0.9993321775701942,0.9993321775701942,-0.006676028210907999,1.4132691209036015,-1.9999964345035492,1.0
198,0.9993321762172248,0.9993321762172248,-0.006676039201117265,1.4132691188356068,-1.9999964344879402,1.0
199,0.9993321749654058,0.9993321749654058,-0.0066760493696789965,1.4132691169222191,-1.999996434473498,1.0
